Model,Split,Feature_Selection,Sampling,CV_Accuracy,CV_Std,Test_Accuracy,Precision,Recall,F1_Score,ROC_AUC,TP,TN,FP,FN
MLP,80:20,Baseline,RandomUnderSampler,0.645125,0.118472,0.784,0.136364,0.015,0.027027,0.506255,,,,
MLP,80:20,Baseline,SMOTETomek,0.60075,0.03595,0.6245,0.192644,0.275,0.226571,0.487359,,,,
MLP,80:20,Baseline,SMOTEENN,0.23175,0.036093,0.2905,0.199764,0.8475,0.323319,0.474303,,,,
MLP,80:20,Baseline,NearMiss,0.728438,0.019995,0.798,0.25,0.005,0.009804,0.49747,,,,
MLP,80:20,Baseline,ClusterCentroids,0.690625,0.01934,0.7965,0.181818,0.005,0.009732,0.503467,,,,
MLP,80:20,Baseline,ADASYN+Tomek,0.518625,0.092159,0.68,0.190722,0.185,0.187817,0.504014,,,,
MLP,80:20,Baseline,Borderline+Tomek,0.520125,0.080068,0.6785,0.218097,0.235,0.226233,0.51128,,,,
MLP,90:10,Baseline,None (Baseline),0.8,0.0,0.8,0.0,0.0,0.0,0.506975,,,,
MLP,90:10,Baseline,SMOTE,0.563556,0.090173,0.639,0.205128,0.28,0.236786,0.503644,,,,
MLP,90:10,Baseline,ADASYN,0.501333,0.081766,0.655,0.220077,0.285,0.248366,0.529475,,,,
MLP,90:10,Baseline,RandomUnderSampler,0.551,0.098866,0.683,0.227907,0.245,0.236145,0.494938,,,,
MLP,90:10,Baseline,SMOTETomek,0.566,0.087588,0.627,0.212625,0.32,0.255489,0.503188,,,,
MLP,90:10,Baseline,SMOTEENN,0.200444,0.000648,0.202,0.199799,0.995,0.332776,0.463763,,,,
MLP,90:10,Baseline,NearMiss,0.732222,0.010297,0.8,0.0,0.0,0.0,0.5158,,,,
MLP,90:10,Baseline,ClusterCentroids,0.673611,0.034032,0.781,0.172414,0.025,0.043668,0.440756,,,,
MLP,90:10,Baseline,ADASYN+Tomek,0.480667,0.112422,0.683,0.235294,0.26,0.247031,0.523344,,,,
MLP,90:10,Baseline,Borderline+Tomek,0.487667,0.097175,0.658,0.165094,0.175,0.169903,0.466762,,,,
Logistic Regression,90:10,FS_LR,SMOTEENN (Fold 5),,,0.201,0.198995,0.99,0.331381,0.498606,,,,
Logistic Regression,90:10,FS_LR,NearMiss (Fold 2),,,0.493,0.210923,0.56,0.30643,0.528256,,,,
Logistic Regression,90:10,FS_LR,ADASYN (Fold 3),,,0.512,0.202479,0.49,0.28655,0.493912,,,,
Logistic Regression,90:10,FS_LR,RandomUnderSampler (Fold 2),,,0.494,0.194,0.485,0.277143,0.478975,,,,
Logistic Regression,90:10,FS_LR,SMOTETomek (Fold 3),,,0.531,0.205689,0.47,0.286149,0.49865,,,,
Logistic Regression,90:10,FS_LR,SMOTE (Fold 1),,,0.525,0.201735,0.465,0.281392,0.4868,,,,
Logistic Regression,90:10,FS_LR,ClusterCentroids (Fold 2),,,0.525,0.200436,0.46,0.279211,0.4943,,,,
Logistic Regression,90:10,FS_LR,ADASYN + Tomek (Fold 3),,,0.55,0.210648,0.455,0.287975,0.492987,,,,
Logistic Regression,90:10,FS_LR,Borderline-2 + Tomek (Fold 3),,,0.56,0.198492,0.395,0.264214,0.4886,,,,
Logistic Regression,90:10,FS_LR,None (Baseline),,,0.8,0.0,0.0,0.0,0.491137,,,,
Decision Tree,90:10,FS_LR,SMOTEENN (Fold 2),,,0.472,0.207143,0.58,0.305263,0.523741,,,,
Decision Tree,90:10,FS_LR,Borderline-2 + Tomek (Fold 4),,,0.56,0.212919,0.445,0.288026,0.521459,,,,
Decision Tree,90:10,FS_LR,NearMiss (Fold 5),,,0.624,0.231707,0.38,0.287879,0.512559,,,,
Decision Tree,90:10,FS_LR,ClusterCentroids (Fold 3),,,0.601,0.216524,0.38,0.275862,0.527219,,,,
Decision Tree,90:10,FS_LR,RandomUnderSampler (Fold 3),,,0.577,0.196185,0.36,0.253968,0.490478,,,,
Decision Tree,90:10,FS_LR,ADASYN + Tomek (Fold 3),,,0.605,0.192429,0.305,0.235977,0.510506,,,,
Decision Tree,90:10,FS_LR,ADASYN (Fold 4),,,0.685,0.246696,0.28,0.262295,0.537431,,,,
Decision Tree,90:10,FS_LR,SMOTETomek (Fold 2),,,0.694,0.235,0.235,0.235,0.539559,,,,
Decision Tree,90:10,FS_LR,SMOTE (Fold 2),,,0.69,0.227723,0.23,0.228856,0.529984,,,,
Decision Tree,90:10,FS_LR,Baseline (Fold 1),,,0.777,0.219512,0.045,0.074689,0.505269,,,,
Random Forest,90:10,FS_LR,None (Baseline),,,0.8,0.0,0.0,0.0,0.537163,,,,
Random Forest,90:10,FS_LR,SMOTE (Fold 4),,,0.754,0.255319,0.12,0.163265,0.522212,,,,
Random Forest,90:10,FS_LR,ADASYN (Fold 4),,,0.749,0.257143,0.135,0.177049,0.530063,,,,
Random Forest,90:10,FS_LR,RandomUnderSampler (Fold 5),,,0.528,0.210638,0.495,0.295522,0.488147,,,,
Random Forest,90:10,FS_LR,SMOTETomek,,,0.744,0.202128,0.095,0.129252,0.528803,,,,
Random Forest,90:10,FS_LR,SMOTEENN,,,0.574,0.210256,0.41,0.277966,0.519769,,,,
Random Forest,90:10,FS_LR,NearMiss (Fold 1),,,0.382,0.208101,0.745,0.325328,0.517888,,,,
Random Forest,90:10,FS_LR,ClusterCentroids,,,0.432,0.213396,0.685,0.325416,0.532784,,,,
Random Forest,90:10,FS_LR,ADASYN+Tomek,,,0.754,0.27,0.135,0.18,0.528025,,,,
Random Forest,90:10,FS_LR,BorderlineSMOTE+Tomek,,,0.758,0.243902,0.1,0.141844,0.506788,,,,
XGBoost,90:10,FS_LR,None (Baseline),,,0.798,0.25,0.005,0.009804,0.497025,,,,
XGBoost,90:10,FS_LR,SMOTE,,,0.749,0.296,0.185,0.227692,0.548037,,,,
XGBoost,90:10,FS_LR,ADASYN,,,0.737,0.221239,0.125,0.159744,0.534956,,,,
XGBoost,90:10,FS_LR,RandomUnderSampler,,,0.486,0.198077,0.515,0.286111,0.487187,,,,
XGBoost,90:10,FS_LR,ClusterCentroids,,,0.35,0.200798,0.755,0.317227,0.502613,,,,
XGBoost,90:10,FS_LR,SMOTETomek,,,0.732,0.230159,0.145,0.177914,0.514281,,,,
XGBoost,90:10,FS_LR,SMOTEENN,,,0.508,0.211462,0.535,0.303116,0.523481,,,,
XGBoost,90:10,FS_LR,NearMiss,,,0.387,0.211189,0.755,0.330055,0.513113,,,,
XGBoost,90:10,FS_LR,ADASYN+Tomek,,,0.747,0.242718,0.125,0.165017,0.542006,,,,
XGBoost,90:10,FS_LR,Borderline+Tomek,,,0.682,0.219048,0.23,0.22439,0.52545,,,,
MLP,90:10,FS_LR,None (Baseline),,,0.8,0.0,0.0,0.0,0.498769,,,,
MLP,90:10,FS_LR,SMOTE,,,0.583,0.210667,0.395,0.274783,0.517388,,,,
MLP,90:10,FS_LR,ADASYN,,,0.522,0.211618,0.51,0.29912,0.526263,,,,
